words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
гладкий	зеркало	32	11	8	0.14	attraction	0.2488	0.718	13.4622
мягкий	пух	32	17	9	0.21	attraction	0.2781	0.5205	13.3422
загадочный	ночь	9	23	7	0.08	attraction	0.7716	0.3036	13.2414
черный	ночь	106	23	13	0.94	attraction	0.1186	0.5289	12.4449
быстрый	ветер	24	20	8	0.19	attraction	0.3286	0.3938	11.7528
бледный	полотно	46	12	8	0.21	attraction	0.1723	0.6519	11.6026
твердый	алмаз	74	9	8	0.26	attraction	0.1077	0.8633	11.5684
красный	кровь	34	10	7	0.13	attraction	0.2047	0.6895	11.3845
худой	щепка	12	6	5	0.03	attraction	0.4163	0.8306	11.3064
мягкий	шелк	32	26	9	0.32	attraction	0.2746	0.3372	11.2648
блудливый	кот	4	6	4	0.01	attraction	0.9992	0.6667	11.0932
немой	рыба	4	6	4	0.01	attraction	0.9992	0.6667	11.0932
слепой	крот	6	4	4	0.01	attraction	0.6667	0.9992	11.0932
кроткий	ягненок	5	5	4	0.01	attraction	0.7996	0.7996	10.8715
злой	черт	28	23	8	0.25	attraction	0.2799	0.34	10.553
свободный	ветер	21	20	7	0.16	attraction	0.3283	0.3445	10.2544
вольный	птица	7	16	5	0.04	attraction	0.71	0.3117	10.0229
прямой	палка	33	9	6	0.11	attraction	0.1806	0.6562	9.659
сладкий	мед	16	8	5	0.05	attraction	0.3113	0.6207	9.5984
красный	помидор	34	5	5	0.07	attraction	0.1471	0.9888	9.5378
голубой	небо	5	9	4	0.02	attraction	0.7981	0.4441	9.4706
суетлив	муравейник	3	3	3	0	attraction	1	1	9.4592
живучий	кошка	5	11	4	0.02	attraction	0.7973	0.3632	9.0528
